"sample_raw_id","feature_id","name_sirius","smiles_sirius","InChI_sirius","NPC.pathway_canopus","NPC.superclass_canopus","RF_importance","Mature - Young.sample_raw_id","Mature - Young.group","Mature - Young.posthoc_Pvalue","Mature - Young.log10P"
"1","X102_379.1_0.3_peak",102,"null","C(C(C(C(CO)O)O)O)N1C2=C(C(=O)NC(=O)N2)N=C(C1=NC=O)N","InChI=1S/C12H16N6O7/c13-8-10(14-3-20)18(1-4(21)7(23)5(22)2-19)9-6(15-8)11(24)17-12(25)16-9/h3-5,7,19,21-23H,1-2H2,(H2,13,15)(H2,16,17,24,25)","Carbohydrates","Nucleosides",0.190709523809524,"X102_379.1_0.3_peak","Mature - Young",0.177765320043761,1.75015296092866
"2","X12_365.1_0.3_peak",12,"Nigerose","C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2","Carbohydrates","Saccharides",0.46667619047619,"X12_365.1_0.3_peak","Mature - Young",0.0469307948329516,2.32854209039348
"3","X1369_640.35_3.8_peak",1369,"null","CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)C)O)C(=O)O)O)O","InChI=1S/C29H53NO14/c1-3-4-5-6-7-8-9-10-11-12-13-41-27-24(38)23(37)25(20(16-32)42-27)43-29(28(39)40)14-18(34)21(30-17(2)33)26(44-29)22(36)19(35)15-31/h18-27,31-32,34-38H,3-16H2,1-2H3,(H,30,33)(H,39,40)","Carbohydrates","Polyols",0.215038095238095,"X1369_640.35_3.8_peak","Mature - Young",0.15303528360881,1.81520842728703
"4","X1581_360.22_6_peak",1581,NA,NA,NA,"Carbohydrates","Ornithine alkaloids",NA,"X1581_360.22_6_peak","Mature - Young",0.248894711894443,1.60398433046839
"5","X2_180.09_0.3_peak",2,"Manosamine","C(C(C(C(C(C=O)N)O)O)O)O","InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2","Carbohydrates","Aminosugars and aminoglycosides",NA,"X2_180.09_0.3_peak","Mature - Young",0.616036650464172,1.21039344916536
"6","X22_268.1_0.4_peak",22,"Adenocor","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","Carbohydrates","Nucleosides",0.199523809523809,"X22_268.1_0.4_peak","Mature - Young",0.166104653813344,1.77961819959471
"7","X25_211.08_0.3_peak",25,"Heptose","C(C(C(C(C(C(C=O)O)O)O)O)O)O","InChI=1S/C7H14O7/c8-1-3(10)5(12)7(14)6(13)4(11)2-9/h1,3-7,9-14H,2H2","Carbohydrates","Saccharides",NA,"X25_211.08_0.3_peak","Mature - Young",0.821920027377725,1.08517043715362
"8","X26_179.06_0.3_peak",26,"Glucosone","C(C(C(C(C(=O)C=O)O)O)O)O","InChI=1S/C6H10O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,4-6,8,10-12H,2H2","Carbohydrates","Saccharides",NA,"X26_179.06_0.3_peak","Mature - Young",0.698783375647522,1.15565743561588
"9","X28_163.06_0.3_peak",28,"Glucosan","C1C2C(C(C(C(O1)O2)O)O)O","InChI=1S/C6H10O5/c7-3-2-1-10-6(11-2)5(9)4(3)8/h2-9H,1H2","Carbohydrates","Saccharides",NA,"X28_163.06_0.3_peak","Mature - Young",0.610558982648434,1.21427237496004
"10","X3_325.11_0.3_peak",3,"null","C1C2C(C(O1)C(C(O2)O)O)OC3C(C(C(C(O3)CO)O)O)O","InChI=1S/C12H20O10/c13-1-3-5(14)6(15)7(16)12(21-3)22-9-4-2-19-10(9)8(17)11(18)20-4/h3-18H,1-2H2","Carbohydrates","Saccharides",NA,"X3_325.11_0.3_peak","Mature - Young",0.96527262295576,1.01535001108727
