"sample_raw_id","feature_id","name_sirius","smiles_sirius","InChI_sirius","NPC.pathway_canopus","NPC.superclass_canopus","RF_importance","Mature - Young.sample_raw_id","Mature - Young.group","Mature - Young.posthoc_Pvalue","Mature - Young.log10P"
"11","X300_399.1_0.3_peak",300,"Ethoxysulfuron","CCOC1=CC=CC=C1OS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC","InChI=1S/C15H18N4O7S/c1-4-25-10-7-5-6-8-11(10)26-27(21,22)19-15(20)18-14-16-12(23-2)9-13(17-14)24-3/h5-9H,4H2,1-3H3,(H2,16,17,18,19,20)","Carbohydrates","Nucleosides",0.284028571428571,"X300_399.1_0.3_peak","Mature - Young",0.184995429068207,1.73283900216444
"12","X3000_415.07_0.3_peak",3000,"null","C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)C3C(C(C(O3)CO)O)O","InChI=1S/C14H20N2O10/c17-2-5-7(19)9(21)11(25-5)4-1-16(14(24)15-12(4)23)13-10(22)8(20)6(3-18)26-13/h1,5-11,13,17-22H,2-3H2,(H,15,23,24)","Carbohydrates","Peptide alkaloids",NA,"X3000_415.07_0.3_peak","Mature - Young",0.677984655188684,1.16878013539886
"13","X3005_445.09_0.3_peak",3005,"(2R)-2-[(R)-carboxy-[[(2S)-2-carboxy-2-(4-hydroxyphenyl)acetyl]amino]-methoxymethyl]-5-methylidene-2H-1,3-oxazine-4-carboxylic acid","COC(C1N=C(C(=C)CO1)C(=O)O)(C(=O)O)NC(=O)C(C2=CC=C(C=C2)O)C(=O)O","InChI=1S/C18H18N2O10/c1-8-7-30-16(19-12(8)15(25)26)18(29-2,17(27)28)20-13(22)11(14(23)24)9-3-5-10(21)6-4-9/h3-6,11,16,21H,1,7H2,2H3,(H,20,22)(H,23,24)(H,25,26)(H,27,28)","Carbohydrates","Anthranilic acid alkaloids",NA,"X3005_445.09_0.3_peak","Mature - Young",0.601901853273196,1.22047431946789
"14","X3064_215.02_0.3_peak",3064,"Diketogulonic acid","C(C(C(C(=O)C(=O)C(=O)O)O)O)O","InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)","Carbohydrates","Saccharides",0.253204761904762,"X3064_215.02_0.3_peak","Mature - Young",0.0329823115487931,2.48171891031351
"15","X3070_269.09_0.4_peak",3070,"Inosinum","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)","Carbohydrates","Nucleosides",NA,"X3070_269.09_0.4_peak","Mature - Young",0.237856784142577,1.62368445713595
"16","X31_183.09_0.3_peak",31,"Sorbogem","C(C(C(C(C(CO)O)O)O)O)O","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","Carbohydrates","Saccharides",NA,"X31_183.09_0.3_peak","Mature - Young",0.540008304812888,1.26759956109059
"17","X3155_284.1_0.4_peak",3155,"Guanosin","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N","InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)","Carbohydrates","Nucleosides",0.306971428571429,"X3155_284.1_0.4_peak","Mature - Young",0.111008295714552,1.95464456492117
"18","X4_203.05_0.3_peak",4,"Cerelose","C(C(C(C(C(C=O)O)O)O)O)O","InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2","Carbohydrates","Saccharides",0.318761904761905,"X4_203.05_0.3_peak","Mature - Young",0.17053439667896,1.76818801091638
"19","X41_307.1_0.3_peak",41,"[(2R,3R,4S,5R)-4,5-diacetyloxy-3,6-dihydroxyoxan-2-yl]methyl acetate","CC(=O)OCC1C(C(C(C(O1)O)OC(=O)C)OC(=O)C)O","InChI=1S/C12H18O9/c1-5(13)18-4-8-9(16)10(19-6(2)14)11(12(17)21-8)20-7(3)15/h8-12,16-17H,4H2,1-3H3","Carbohydrates","Saccharides",NA,"X41_307.1_0.3_peak","Mature - Young",0.936939026837078,1.02828867076624
"20","X50_223.09_0.3_peak",50,"Oprea1_737676","C(C1C(C(C(C(O1)O)NC(=O)N)O)O)O","InChI=1S/C7H14N2O6/c8-7(14)9-3-5(12)4(11)2(1-10)15-6(3)13/h2-6,10-13H,1H2,(H3,8,9,14)","Carbohydrates","Aminosugars and aminoglycosides",NA,"X50_223.09_0.3_peak","Mature - Young",0.472790045021432,1.32533167645374
"21","X5446_225.1_0.4_peak",5446,"1-O-acetylhexitol","CC(=O)OCC(C(C(C(CO)O)O)O)O","InChI=1S/C8H16O7/c1-4(10)15-3-6(12)8(14)7(13)5(11)2-9/h5-9,11-14H,2-3H2,1H3","Carbohydrates","Saccharides",NA,"X5446_225.1_0.4_peak","Mature - Young",0.68082538138465,1.16696426198659
"22","X55_527.16_0.3_peak",55,"Erlose","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3(C(C(C(O3)CO)O)O)CO)CO)O)O)O)O","InChI=1S/C18H32O16/c19-1-5-8(23)10(25)12(27)16(30-5)32-14-7(3-21)31-17(13(28)11(14)26)34-18(4-22)15(29)9(24)6(2-20)33-18/h5-17,19-29H,1-4H2","Carbohydrates","Saccharides",0.151261904761905,"X55_527.16_0.3_peak","Mature - Young",0.154361767997843,1.81146025583717
"23","X6009_226.13_0.4_peak",6009,"(2R,3S,4R,5R)-5-(1-hydroxyethylamino)hexane-1,2,3,4,6-pentol","CC(NC(CO)C(C(C(CO)O)O)O)O","InChI=1S/C8H19NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h4-15H,2-3H2,1H3","Carbohydrates","Aminosugars and aminoglycosides",0.284271428571429,"X6009_226.13_0.4_peak","Mature - Young",0.124881184141802,1.9035029918818
"24","X61_193.07_0.3_peak",61,"myo-inosose-1","COC1C(C(C(C(=O)C1O)O)O)O","InChI=1S/C7H12O6/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h2-3,5-9,11-12H,1H3","Carbohydrates","Saccharides",NA,"X61_193.07_0.3_peak","Mature - Young",0.787200025081941,1.10391490073913
"25","X7586_196.08_0.3_peak",7586,"bmse000440","C(C(C(C(C(C(=O)O)N)O)O)O)O","InChI=1S/C6H13NO6/c7-3(6(12)13)5(11)4(10)2(9)1-8/h2-5,8-11H,1,7H2,(H,12,13)","Carbohydrates","Aminosugars and aminoglycosides",NA,"X7586_196.08_0.3_peak","Mature - Young",0.43324582497737,1.36326561372201
"26","X80_226.13_0.4_peak",80,"(2R,3S,4R,5R)-5-(1-hydroxyethylamino)hexane-1,2,3,4,6-pentol","CC(NC(CO)C(C(C(CO)O)O)O)O","InChI=1S/C8H19NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h4-15H,2-3H2,1H3","Carbohydrates","Aminosugars and aminoglycosides",0.309033333333333,"X80_226.13_0.4_peak","Mature - Young",0.0350130398722418,2.45577018165348
"27","X8552_225.1_0.4_peak",8552,"1-O-acetylhexitol","CC(=O)OCC(C(C(C(CO)O)O)O)O","InChI=1S/C8H16O7/c1-4(10)15-3-6(12)8(14)7(13)5(11)2-9/h5-9,11-14H,2-3H2,1H3","Carbohydrates","Saccharides",NA,"X8552_225.1_0.4_peak","Mature - Young",0.719967746044666,1.14268695916399
"28","X9195_231.08_0.4_peak",9195,"Ethyl glucoside","CCOC1C(C(C(C(O1)CO)O)O)O","InChI=1S/C8H16O6/c1-2-13-8-7(12)6(11)5(10)4(3-9)14-8/h4-12H,2-3H2,1H3","Carbohydrates","Saccharides",0.532519047619048,"X9195_231.08_0.4_peak","Mature - Young",0.0280784787059365,2.55162642601214
"29","X9268_363.11_1.2_peak",9268,"null","C1=C(OC(=C1)[N+](=O)[O-])CC(=NN=C(N)N)CC=CC2=CC=C(O2)[N+](=O)[O-]","InChI=1S/C14H14N6O6/c15-14(16)18-17-9(8-11-5-7-13(26-11)20(23)24)2-1-3-10-4-6-12(25-10)19(21)22/h1,3-7H,2,8H2,(H4,15,16,18)","Carbohydrates","Nucleosides",NA,"X9268_363.11_1.2_peak","Mature - Young",0.365806724767945,1.43674831498107
