row ID,row m/z,row retention time,211126_PMA_MAPP_1_12_01.mzXML Peak area,211126_PMA_MAPP_1_12_02.mzXML Peak area,211126_PMA_MAPP_1_12_03.mzXML Peak area,211126_PMA_MAPP_1_12_04.mzXML Peak area,211126_PMA_MAPP_1_12_05.mzXML Peak area,211126_PMA_MAPP_1_12_06.mzXML Peak area,211126_PMA_MAPP_1_12_07.mzXML Peak area,211126_PMA_MAPP_1_12_08.mzXML Peak area,211126_PMA_MAPP_1_12_09.mzXML Peak area,211126_PMA_MAPP_1_12_QC_03.mzXML Peak area,211126_PMA_MAPP_1_12_QC_04.mzXML Peak area,211126_PMA_MAPP_1_12_QC_05.mzXML Peak area,Unnamed: 15
1499,451.2661992853338,1.0020181818181817,706615.0132070315,888111.2858203134,418693.4757412111,236265.8389343261,471038.67328710953,192319.24836621105,833384.7330644535,1127879.6608554712,0.0,2204775.0418984382,2565825.9433515617,2474839.889117187,
2099,821.5706787109375,6.334501388888889,431881.6871621107,321712.6440527366,257296.28624707056,112754.99696289074,66704.71403369115,20686.82852685505,93898.68626025396,158232.9097460929,29359.74241406234,102816.16449804533,120643.78131738208,153798.39313671849,
750,555.7847484241832,2.3819909090909093,1611909.7991425754,317133.7188349603,477855.7646474614,797970.4423496079,162356.82799780267,69492.74427026341,87900.43265515118,2178.9990244140613,0.0,389312.2505234378,345859.28571972554,663383.8823564467,
751,568.4785385131836,6.691111111111113,1554321.3848242238,6043379.859486332,1923142.5316953047,982240.6405292952,917983.6306132787,884645.6601474616,950130.6962099671,1232680.138589839,814003.3833662112,2562707.6741640638,2053801.3367265658,1255357.151537117,
3148,572.437001546224,4.472880555555554,2318379.37100782,10334475.305281222,18824250.67406243,1446419.0663164041,2182142.941828129,238915.55457080036,1138786.915847657,1160788.2662109379,1771469.4511015634,4046917.9766562474,3984335.571804685,4082162.8828125037,
1500,502.296630859375,2.2726138888888894,645933.2688496083,10202.705433593794,0.0,2193.9798183592943,0.0,0.0,0.0,0.0,0.0,49738.67369702129,49424.52693212897,86133.04829980468,
1501,489.7591247558594,1.5350727272727271,626897.2138886708,925040.33982324,778138.3419394528,1318467.158153321,566201.4897470706,148756.3801835935,436994.2387578129,126101.22037695289,0.0,1582227.353710938,839403.9570830085,1673270.722624999,
7946,234.94478352864587,8.530876388888887,439582.2968476565,117087.7952861342,404305.99259765854,422061.2913330053,406973.0902470704,393905.42333789536,133570.62320898392,149319.84256933664,439529.4846162049,142721.19988672054,127093.342308105,260852.1132812508,
752,260.90640397505325,0.8690530303030303,1327721.812134765,172233.69005151367,732495.7996464851,862379.3206376964,938944.5030224606,126832.12217382804,1490368.9724550769,1873281.8828027332,0.0,3753483.891402342,4426534.349433597,4504273.778082036,
1502,343.29572423299146,3.3854972222222215,721624.8483691416,2301603.6019648453,2154310.010744149,1316149.9229082037,1565260.5131611375,252421.6557276604,1263874.202748045,1288445.924968752,1433418.3416601531,1541658.8494511684,1590116.875017579,1491427.4828027296,
753,415.3032315572103,5.0091736111111125,1960913.4499628881,5420770.381642583,9943896.466613304,1065063.0575371098,1759475.4380820268,235123.7964516596,1096780.4584648418,1101556.3804287154,1469646.1395078148,2664779.7373027317,2547187.0860488373,2388334.670720693,
6897,758.2223943074546,8.221127777777777,34482.11599121083,266193.26312597643,26781.41479638763,843016.8789218698,189550.07727734602,173432.62930078286,337807.8262490212,29028.952150390516,9144455.866658198,132577.06892187352,40406.592971679784,48674.88673241988,
3149,470.3326416015625,3.634090277777777,367414.69238476607,3931279.543164067,2674939.551646491,156761.5402402349,416977.3963405755,2076.008378906192,204301.84517602573,145469.43196679716,265017.4785112309,1869060.5321484369,1985250.6905820328,2599062.1536035226,
2101,485.3817392985027,6.719081944444443,388053.30364062596,2187674.293523445,732942.1377148491,306832.0182070332,244887.530886716,292755.3115957057,332928.55841504346,535518.3221386662,333198.3143984368,1137410.7532578032,617931.5458320263,487673.70108594047,
2102,464.43096669514966,7.192268055555557,637664.9223994154,751672.0633554688,788266.5485878905,650936.1553730435,662278.9451923798,542054.2793925778,667784.09457617,510315.68916601967,699242.2131191365,860717.2596279313,810186.4590507846,483515.640695311,
754,377.6799057006836,1.1045166666666666,1751360.287560549,3037826.869103515,0.0,207432.4066171875,279729.11515039037,131868.47056494138,101057.33232519557,824405.2408750001,0.0,6816050.555320308,5468777.960554681,7315830.6944296975,
1351,482.22428477894175,1.0268863636363637,775406.9405302731,45922.783281249955,878703.567003908,904532.7489785162,363312.24356445385,285722.8602856453,734358.6054150405,806204.84745703,0.0,1555343.2871835912,1697824.7412460926,1892963.3415546976,
6749,503.96453579989344,1.7594803030303028,50872.44805664066,14861.902711425777,39537.35801757812,932977.460482422,10170.02397387693,20607.886582519568,31253.823064941596,21755.919018066397,0.0,76513.56194018548,77938.94928906241,216647.23741210985,
3150,401.7218225652521,0.738169696969697,131966.71057031234,5160607.130780277,623620.3547490239,332543.1911005865,115555.11144482408,24718.745753784227,161090.88123437474,297316.1575615234,0.0,1628875.7414570325,1124935.7853124996,1340484.062046874,
1352,251.66517777876427,1.2608454545454546,900298.0126132816,310169.9944453129,843691.9907167971,678631.8662187498,362105.46392529295,200559.30861425813,752629.9713945312,906360.6167792977,0.0,1895702.2024882815,542581.4723696288,2337096.5797734368,
1504,365.3205705122514,5.888760606060607,747986.6493613323,1330335.785978521,1064728.9402773443,1032245.3464179677,936625.4155917986,706897.718754882,2436371.891308602,3429792.9353261837,0.0,2167847.2391660158,1789931.7077480478,1217323.9951884844,
1353,497.7162690596147,1.1647075757575758,754933.1318339845,191225.26104687512,1323777.666947264,958431.9558476568,146646.19400439458,578618.1015156248,1848731.2344873059,867467.1016132819,0.0,2192761.1553945327,592223.8017275385,2906722.407244141,
7948,290.15061950683594,5.080026190476191,7803.7574748535935,0.0,0.0,0.0,0.0,121592.07056860352,16328.225392578464,819985.3304834034,0.0,100939.49748632914,116258.78331347716,52576.85706396535,
756,520.3328577677407,1.4429736111111107,1392581.1464062484,24814900.03228905,11974760.46881252,828149.5779179698,1452282.5279531241,200181.02652221703,562191.7527890629,463332.9695273442,1571829.3406904268,12525843.245171865,5990659.692664049,13403316.78306252,
