CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
652	1082	1	0.7941	-44.026
1938	7596	2	0.8487	26.018
1539	1827	3	0.7067	0.001
321	914	4	0.9077	-0.036
86	321	4	0.7719	-71.038
965	3168	4	0.792	-23.000
86	3168	4	0.8217	-1.942
86	1650	4	0.7652	-14.016
5445	5471	5	0.8009	53.047
141	3374	6	0.7625	2.015
548	3374	6	0.7689	41.026
21	3374	6	0.8521	13.020
1399	2084	7	0.8273	-0.002
1399	3481	7	0.7964	18.011
2084	3481	7	0.7032	18.013
76	336	8	0.9193	-42.010
100	2185	8	0.8518	12.036
408	820	8	0.9152	-15.993
867	7659	8	0.8365	-15.995
256	779	8	0.9554	-50.016
640	5491	8	0.9091	42.058
651	7502	8	0.9052	63.995
172	5705	8	0.8304	15.995
651	3038	8	0.8499	-16.031
336	732	8	0.8258	0.983
112	7889	8	0.8405	56.062
23	5456	8	0.8928	-15.995
3182	5600	8	0.8397	-49.979
318	5491	8	0.9494	0.011
349	7502	8	0.896	14.016
91	172	8	0.9097	-63.995
117	5705	8	0.9776	0.000
643	8416	8	0.8299	79.100
1103	2185	8	0.8562	12.036
3247	7616	8	0.8531	15.995
3182	6636	8	0.8315	-16.031
581	7978	8	0.8448	-47.996
76	422	8	0.9036	15.995
278	349	8	0.8974	16.031
372	921	8	0.8312	-1.979
431	581	8	0.8643	-16.031
640	3038	8	0.8888	-49.979
422	6623	8	0.8352	-33.984
187	422	8	0.8621	-85.052
172	5473	8	0.8324	-1.942
372	5440	8	0.9055	-14.016
318	687	8	0.8434	-30.010
100	779	8	0.9239	-33.985
336	422	8	0.8925	58.005
112	675	8	0.9151	56.063
22	240	8	0.8308	-27.062
162	336	8	0.8672	33.985
422	6636	8	0.9478	-42.047
581	3247	8	0.8751	12.036
278	640	8	0.9794	-0.000
278	372	8	0.9074	14.015
23	2997	8	0.8309	-15.995
5491	7592	8	0.9163	-16.006
187	3038	8	0.8501	-63.995
349	5440	8	0.8921	-16.031
223	5541	8	0.8679	-43.991
91	5705	8	0.9124	-48.000
687	3038	8	0.8494	-62.016
408	6622	8	0.8282	260.152
112	422	8	0.9549	42.047
581	8416	8	0.8536	-76.031
187	640	8	0.8877	-14.015
23	779	8	0.9249	-147.069
115	431	8	0.8256	304.142
372	620	8	0.8917	14.016
91	112	8	0.8626	-14.016
23	5484	8	0.8227	-57.021
1103	5440	8	0.9081	33.984
779	867	8	0.8486	48.000
112	336	8	0.8672	-15.958
100	349	8	0.8966	50.015
336	6636	8	0.8591	15.958
843	1172	8	0.8522	15.995
76	112	8	0.8863	-26.052
318	7592	8	0.8804	-15.994
687	3558	8	0.8272	-12.036
779	5484	8	0.8727	90.047
604	3247	8	0.8316	30.011
245	7978	8	0.8225	76.035
22	3155	8	0.9187	-15.995
187	278	8	0.845	-14.015
3038	5440	8	0.8654	49.979
245	259	8	0.954	50.016
687	5491	8	0.8686	30.021
336	355	8	0.8422	14.016
620	867	8	0.8534	-48.000
278	3038	8	0.8615	-49.979
259	1079	8	0.837	18.026
