id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
409_mapp_batch_00010_sirius_2155	C10H18N2O3	[M + H]+	Amino acids and Peptides	0.9999407529830933	Small peptides	0.9999880790710449	Dipeptides	0.9999986886978149	Dipeptides	0.9999910593032837	Peptides	0.9999817609786987	Amino acids, peptides, and analogues	0.9999990463256836	Carboxylic acids and derivatives	1.0	Organic acids and derivatives	1.0	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Dialkylamines; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Secondary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
205_mapp_batch_00010_sirius_5565	C13H25NO2	[M + H]+	Fatty acids	0.7228681445121765	Fatty Acids and Conjugates	0.29304423928260803	Amino fatty acids	0.2270611822605133	Amino acids	0.503214955329895	Amino acids and derivatives	0.9457984566688538	Amino acids, peptides, and analogues	0.9483555555343628	Carboxylic acids and derivatives	0.9796500205993652	Organic acids and derivatives	0.9866994619369507	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
579_mapp_batch_00010_sirius_5155	C44H82NO8P	[M + H]+	Fatty acids	0.9999157190322876	Glycerophospholipids	0.9997262358665466	Glycerophosphocholines	0.9977053999900818	Phosphatidylcholines	0.9845090508460999	Phosphatidylcholines	0.9845090508460999	Glycerophosphocholines	0.9987015724182129	Glycerophospholipids	0.9998857975006104	Lipids and lipid-like molecules	0.9999517202377319	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
919_mapp_batch_00010_sirius_3247	C12H23N3O5	[M + H]+	Amino acids and Peptides	0.9999861717224121	Small peptides	0.9999977350234985	Tripeptides	0.9908263087272644	Oligopeptides	0.9894697666168213	Peptides	0.9999984502792358	Amino acids, peptides, and analogues	1.0	Carboxylic acids and derivatives	1.0	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Alanine and derivatives; Serine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
1_mapp_batch_00010_sirius_1499	C21H34N6O5	[M + H]+	Amino acids and Peptides	0.996268630027771	Small peptides	0.9833659529685974	Tripeptides	0.9145482778549194	Oligopeptides	0.7145715355873108	Peptides	0.9313225746154785	Amino acids, peptides, and analogues	0.9998202919960022	Carboxylic acids and derivatives	0.9997859597206116	Organic acids and derivatives	0.9999496936798096	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Aldehydes; Phenols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Alanine and derivatives; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities
36_mapp_batch_00010_sirius_3151	C17H39N5	[M + Na]+	Alkaloids	0.9957594275474548	Guanidine alkaloids	0.8358215093612671	Acyclic guanidine alkaloids	0.7931913733482361	Biguanides	0.7047887444496155	Biguanides	0.7047887444496155	Guanidines	0.9995716214179993	Organonitrogen compounds	0.9999943971633911	Organic nitrogen compounds	1.0	Organic compounds; Organonitrogen compounds; Guanidines; Biguanides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
171_mapp_batch_00010_sirius_5115	C35H53N5O7	[M + H]+	Amino acids and Peptides	0.6999191641807556	Oligopeptides	0.9140375256538391	Cyclic peptides	0.6785185933113098	Depsipeptides	0.6436220407485962			Depsipeptides	0.6436220407485962	Peptidomimetics	0.5680966973304749	Organic acids and derivatives	0.9999673366546631	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Lactams; Phenethylamines; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Depsipeptides; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
987_mapp_batch_00010_sirius_642	C27H42N2O4	[M + H]+	Terpenoids	0.13922907412052155	Pseudoalkaloids	0.041026633232831955	Ceramides	0.026961686089634895	Indoles and derivatives	0.8106929659843445					Indoles and derivatives	0.8106929659843445	Organoheterocyclic compounds	0.9993670582771301	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alcohols and polyols; Lactams; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzenoids; Amines; Alkanolamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1701_mapp_batch_00010_sirius_6613	C15H20O2	[M + H]+	Terpenoids	0.9986610412597656	Sesquiterpenoids	0.9569380283355713	Eremophilane sesquiterpenoids	0.37978219985961914	Sesquiterpene lactones	0.532883882522583	Sesquiterpene lactones	0.532883882522583	Terpene lactones	0.3101416230201721	Prenol lipids	0.9133318662643433	Lipids and lipid-like molecules	0.9001286625862122	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acid esters; Sesquiterpene lactones; Sesquiterpenoids; Carbonyl compounds; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1497_mapp_batch_00010_sirius_3011	C10H17N3O6	[M + H]+	Amino acids and Peptides	0.9986926913261414	Small peptides	0.9997124075889587	Dipeptides	0.9997604489326477	Dipeptides	0.9988563060760498	Peptides	0.9996836185455322	Amino acids, peptides, and analogues	0.9999958276748657	Carboxylic acids and derivatives	0.9999998807907104	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
